0	47563	p-a	1
47563	0	a-p	1
0	47564	p-a	1
47564	0	a-p	1
0	47565	p-a	1
47565	0	a-p	1
0	22110	p-c	1
22110	0	c-p	1
1	47566	p-a	1
47566	1	a-p	1
1	47567	p-a	1
47567	1	a-p	1
1	22110	p-c	1
22110	1	c-p	1
2	47568	p-a	1
47568	2	a-p	1
2	47569	p-a	1
47569	2	a-p	1
2	47570	p-a	1
47570	2	a-p	1
2	22110	p-c	1
22110	2	c-p	1
3	47571	p-a	1
47571	3	a-p	1
3	47572	p-a	1
47572	3	a-p	1
3	22110	p-c	1
22110	3	c-p	1
4	47573	p-a	1
47573	4	a-p	1
4	47574	p-a	1
47574	4	a-p	1
4	22110	p-c	1
22110	4	c-p	1
5	47575	p-a	1
47575	5	a-p	1
5	47576	p-a	1
47576	5	a-p	1
5	22110	p-c	1
22110	5	c-p	1
6	47577	p-a	1
47577	6	a-p	1
6	47578	p-a	1
47578	6	a-p	1
6	47579	p-a	1
47579	6	a-p	1
6	47580	p-a	1
47580	6	a-p	1
6	47581	p-a	1
47581	6	a-p	1
6	47582	p-a	1
47582	6	a-p	1
6	22110	p-c	1
22110	6	c-p	1
7	47583	p-a	1
47583	7	a-p	1
7	47584	p-a	1
47584	7	a-p	1
7	47585	p-a	1
47585	7	a-p	1
7	22110	p-c	1
22110	7	c-p	1
8	47575	p-a	1
47575	8	a-p	1
8	47576	p-a	1
47576	8	a-p	1
8	22110	p-c	1
22110	8	c-p	1
9	47587	p-a	1
47587	9	a-p	1
9	47588	p-a	1
47588	9	a-p	1
9	47586	p-a	1
47586	9	a-p	1
9	22110	p-c	1
22110	9	c-p	1
10	47589	p-a	1
47589	10	a-p	1
10	47568	p-a	1
47568	10	a-p	1
10	47569	p-a	1
47569	10	a-p	1
10	22110	p-c	1
22110	10	c-p	1
11	47590	p-a	1
47590	11	a-p	1
11	47591	p-a	1
47591	11	a-p	1
11	22110	p-c	1
22110	11	c-p	1
12	47592	p-a	1
47592	12	a-p	1
12	22110	p-c	1
22110	12	c-p	1
13	47595	p-a	1
47595	13	a-p	1
13	47596	p-a	1
47596	13	a-p	1
13	47593	p-a	1
47593	13	a-p	1
13	47594	p-a	1
47594	13	a-p	1
13	22110	p-c	1
22110	13	c-p	1
14	47597	p-a	1
47597	14	a-p	1
14	47598	p-a	1
47598	14	a-p	1
14	22110	p-c	1
22110	14	c-p	1
15	47599	p-a	1
47599	15	a-p	1
15	47600	p-a	1
47600	15	a-p	1
15	47601	p-a	1
47601	15	a-p	1
15	47602	p-a	1
47602	15	a-p	1
15	22110	p-c	1
22110	15	c-p	1
16	47603	p-a	1
47603	16	a-p	1
16	47604	p-a	1
47604	16	a-p	1
16	47605	p-a	1
47605	16	a-p	1
16	47606	p-a	1
47606	16	a-p	1
16	22110	p-c	1
22110	16	c-p	1
17	47607	p-a	1
47607	17	a-p	1
17	47608	p-a	1
47608	17	a-p	1
17	22110	p-c	1
22110	17	c-p	1
18	47611	p-a	1
47611	18	a-p	1
18	47609	p-a	1
47609	18	a-p	1
18	47610	p-a	1
47610	18	a-p	1
18	22110	p-c	1
22110	18	c-p	1
19	47612	p-a	1
47612	19	a-p	1
19	47613	p-a	1
47613	19	a-p	1
19	22110	p-c	1
22110	19	c-p	1
20	47614	p-a	1
47614	20	a-p	1
20	47615	p-a	1
47615	20	a-p	1
20	47616	p-a	1
47616	20	a-p	1
20	22110	p-c	1
22110	20	c-p	1
21	47617	p-a	1
47617	21	a-p	1
21	22110	p-c	1
22110	21	c-p	1
22	47619	p-a	1
47619	22	a-p	1
22	47620	p-a	1
47620	22	a-p	1
22	47618	p-a	1
47618	22	a-p	1
22	22110	p-c	1
22110	22	c-p	1
23	47621	p-a	1
47621	23	a-p	1
23	47617	p-a	1
47617	23	a-p	1
23	22110	p-c	1
22110	23	c-p	1
24	47622	p-a	1
47622	24	a-p	1
24	47623	p-a	1
47623	24	a-p	1
24	47624	p-a	1
47624	24	a-p	1
24	22110	p-c	1
22110	24	c-p	1
25	47621	p-a	1
47621	25	a-p	1
25	47617	p-a	1
47617	25	a-p	1
25	22110	p-c	1
22110	25	c-p	1
26	47627	p-a	1
47627	26	a-p	1
26	47625	p-a	1
47625	26	a-p	1
26	47626	p-a	1
47626	26	a-p	1
26	22110	p-c	1
22110	26	c-p	1
27	47628	p-a	1
47628	27	a-p	1
27	47617	p-a	1
47617	27	a-p	1
27	22110	p-c	1
22110	27	c-p	1
28	47629	p-a	1
47629	28	a-p	1
28	47630	p-a	1
47630	28	a-p	1
28	47631	p-a	1
47631	28	a-p	1
28	47632	p-a	1
47632	28	a-p	1
28	22110	p-c	1
22110	28	c-p	1
29	47628	p-a	1
47628	29	a-p	1
29	47621	p-a	1
47621	29	a-p	1
29	47633	p-a	1
47633	29	a-p	1
29	47617	p-a	1
47617	29	a-p	1
29	22110	p-c	1
22110	29	c-p	1
30	47635	p-a	1
47635	30	a-p	1
30	47629	p-a	1
47629	30	a-p	1
30	47634	p-a	1
47634	30	a-p	1
30	22110	p-c	1
22110	30	c-p	1
31	47636	p-a	1
47636	31	a-p	1
31	47637	p-a	1
47637	31	a-p	1
31	22110	p-c	1
22110	31	c-p	1
32	47629	p-a	1
47629	32	a-p	1
32	47638	p-a	1
47638	32	a-p	1
32	47639	p-a	1
